load,side,target,letter1,letter2,letter3,letter4,letter5,letter6,distractor_appears,distr
high,up,X,X,H,V,K,W,M,0,distr/karych.png
high,up,X,H,K,X,M,V,W,0,distr/krosh.png
high,up,X,K,M,H,W,X,V,0,distr/losyash.png
high,up,X,M,W,K,V,H,X,0,distr/pin.png
high,up,X,W,V,M,X,K,H,0,distr/kopatych.png
high,up,X,V,X,W,H,M,K,0,distr/sovunya.png
high,down,X,X,H,V,K,W,M,1,distr/nyusha.png
high,down,X,H,K,X,M,V,W,1,distr/ezhik.png
high,down,X,K,M,H,W,X,V,1,distr/barash.png
high,down,X,M,W,K,V,H,X,1,distr/karych.png
high,down,X,W,V,M,X,K,H,1,distr/krosh.png
high,down,X,V,X,W,H,M,K,1,distr/losyash.png
high,down,X,X,H,V,K,W,M,1,distr/pin.png
high,down,X,H,K,X,M,V,W,1,distr/kopatych.png
high,down,X,K,M,H,W,X,V,1,distr/sovunya.png
high,down,X,M,W,K,V,H,X,1,distr/nyusha.png
high,down,X,W,V,M,X,K,H,1,distr/ezhik.png
high,down,X,V,X,W,H,M,K,1,distr/barash.png
high,down,X,X,H,V,K,W,M,0,distr/karych.png
high,down,X,X,H,V,K,W,M,0,distr/krosh.png
high,down,X,H,K,X,M,V,W,0,distr/losyash.png
high,down,X,K,M,H,W,X,V,0,distr/pin.png
high,down,X,M,W,K,V,H,X,0,distr/kopatych.png
high,down,X,W,V,M,X,K,H,0,distr/sovunya.png
high,down,X,V,X,W,H,M,K,0,distr/nyusha.png
high,down,X,X,H,V,K,W,M,0,distr/ezhik.png
high,down,X,H,K,X,M,V,W,0,distr/barash.png
high,down,X,K,M,H,W,X,V,0,distr/karych.png
high,down,X,M,W,K,V,H,X,0,distr/krosh.png
high,down,X,W,V,M,X,K,H,0,distr/losyash.png
high,down,X,V,X,W,H,M,K,0,distr/pin.png
high,down,X,X,H,V,K,W,M,0,distr/kopatych.png
high,down,X,X,H,V,K,W,M,0,distr/sovunya.png
high,down,X,H,K,X,M,V,W,0,distr/nyusha.png
high,down,X,K,M,H,W,X,V,0,distr/ezhik.png
high,down,X,M,W,K,V,H,X,0,distr/barash.png
high,down,X,W,V,M,X,K,H,0,distr/karych.png
high,down,X,V,X,W,H,M,K,0,distr/krosh.png
high,down,X,X,H,V,K,W,M,0,distr/losyash.png
high,down,X,H,K,X,M,V,W,0,distr/pin.png
high,down,X,K,M,H,W,X,V,0,distr/kopatych.png
high,down,X,M,W,K,V,H,X,0,distr/sovunya.png
high,down,X,W,V,M,X,K,H,0,distr/nyusha.png
high,down,X,V,X,W,H,M,K,0,distr/ezhik.png
high,down,X,X,H,V,K,W,M,0,distr/barash.png
high,down,N,H,K,N,M,V,W,0,distr/karych.png
